exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
experimento,5,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,8035411,3995920
experimento,6,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6064970,7088773
experimento,7,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,8209838,5771758
experimento,8,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,7642089,5071538
experimento,9,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,7623140,4498378
experimento,10,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6648848,5154002
experimento,1,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,8827632,7070100
experimento,2,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,8369118,6880541
experimento,3,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,7152980,6888746
experimento,4,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,8924374,4347817
experimento,5,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,7097558,3942751
experimento,6,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,7812745,6581382
experimento,7,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6926917,3967781
experimento,8,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,6354155,7709442
experimento,9,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,8899128,3981118
experimento,10,vectoradd,1048576,DYNAMIC,256,2,OMP,2,1048576,9089374,3861436
experimento,1,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,8375140,4319739
experimento,2,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,7213518,8373746
experimento,3,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,7248282,3852984
experimento,4,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,7043913,3982421
experimento,5,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,8184199,5723792
experimento,6,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,8678152,6333882
experimento,7,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,5545311,7389587
experimento,8,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,8879039,4551458
experimento,9,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,8081882,5790074
experimento,10,vectoradd,1048576,GUIDED,16,2,OMP,2,1048576,6898450,6180617
experimento,1,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,8341414,4056786
experimento,2,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6556156,6628713
experimento,3,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6662295,3971754
experimento,4,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,8814704,3938541
experimento,5,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,8325253,4878719
experimento,6,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,6306368,3908996
experimento,7,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,9217895,4845340
experimento,8,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,8553378,3918605
experimento,9,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,7383321,7297564
experimento,10,vectoradd,1048576,GUIDED,32,2,OMP,2,1048576,8753176,4096789
experimento,1,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,7683350,4953717
experimento,2,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,8400476,3896890
experimento,3,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,5694516,3817570
experimento,4,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,7503131,6562330
experimento,5,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,8021203,6454319
experimento,6,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,6207024,5947301
experimento,7,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,8209222,3828073
experimento,8,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,5604145,4010977
experimento,9,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,8725187,5879854
experimento,10,vectoradd,1048576,GUIDED,64,2,OMP,2,1048576,8657919,5771885
experimento,1,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,9126156,4728684
experimento,2,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,7400656,6180320
experimento,3,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,5445429,7143388
experimento,4,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,8397974,7291650
experimento,5,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,5796203,3900792
experimento,6,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,7283558,7048779
experimento,7,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,9042623,3944055
experimento,8,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6666203,6192602
experimento,9,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,8521131,3781867
experimento,10,vectoradd,1048576,GUIDED,128,2,OMP,2,1048576,6116413,3857126
experimento,1,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,7228178,3920213
experimento,2,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,7156937,3837349
experimento,3,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,7686223,7728879
experimento,4,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,5878083,8156490
experimento,5,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,5542098,7785644
experimento,6,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,8124758,4079241
experimento,7,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,7271131,4187400
experimento,8,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,7401216,7538792
experimento,9,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,8547175,5669340
experimento,10,vectoradd,1048576,GUIDED,256,2,OMP,2,1048576,5825363,6180832
experimento,1,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,9034397,47550478
experimento,2,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,7677911,46224185
experimento,3,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,7679464,48217486
experimento,4,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,8092411,48340537
experimento,5,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,8861012,47880785
experimento,6,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,6929732,46813667
experimento,7,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,6092647,48382645
experimento,8,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,6047412,46229579
experimento,9,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,6958998,46043762
experimento,10,vectoradd,1048576,STATIC,16,4,OMP,4,1048576,6360928,47706456
